"","x"
"1",122.693
"2",2.856
"3",125.204
"4",0.00199999999999978
"5",0.0439999999999996
"6",106.551
"7",3.07599999999999
"8",109.346000000001
"9",0.00099999999999989
"10",0.115
"11",603.166
"12",8.473
"13",610.126999999999
"14",0
"15",0.113
